ISO3,Region,African,CSI
HUN,ECA,0,1.9969552761304774
DNK,ECA,0,1.8097854847382508
DEU,ECA,0,1.7763462316878191
CZE,ECA,0,1.7514179848764913
ESP,ECA,0,1.7505982736645285
MEX,LAC,0,1.7063340926933348
SVK,ECA,0,1.6646615979700445
TUR,ECA,0,1.6455872990415767
FRA,ECA,0,1.642471979088072
POL,ECA,0,1.6255880337565585
SVN,ECA,0,1.5982821224209398
AUT,ECA,0,1.561632805438812
ITA,ECA,0,1.5249302034885106
THA,EAP,0,1.5213135911778417
SWE,ECA,0,1.4404285154379823
LTU,ECA,0,1.3658839017208615
SRB,ECA,0,1.3293190916464657
CAN,NAM,0,1.3249265432404373
BGR,ECA,0,1.3098037268293954
PRT,ECA,0,1.2510039418266634
CHE,ECA,0,1.2352462214313078
EST,ECA,0,1.2060425939527475
MYS,EAP,0,1.170267491780344
ARG,LAC,0,1.1598802360392144
ZAF,SSA,1,1.1390656713687553
GBR,ECA,0,1.1166837880742395
CHN,EAP,0,1.115340858454273
ROU,ECA,0,1.0846694063491673
IRL,ECA,0,1.0746672865319107
COL,LAC,0,1.0004251431831952
LVA,ECA,0,0.9934570796287432
IDN,EAP,0,0.9768221297944744
HRV,ECA,0,0.9687059952830142
BRA,LAC,0,0.9680152317452442
CRI,LAC,0,0.940336462397526
GTM,LAC,0,0.8991598053346934
NZL,EAP,0,0.8828754470614583
TWN,EAP,0,0.8820401191917233
FIN,ECA,0,0.8205048512017846
KOR,EAP,0,0.8124583000894349
TUN,MENA,1,0.7889092830918194
VNM,EAP,0,0.7190453393586596
BLR,ECA,0,0.691346696230793
GRC,ECA,0,0.6887111797627278
ISR,MENA,0,0.607096224166503
OMN,MENA,0,0.5939778988792024
AUS,EAP,0,0.5573576521721864
DOM,LAC,0,0.5384465108660669
SLV,LAC,0,0.5365549765182033
USA,NAM,0,0.5055501033321478
MKD,ECA,0,0.4851973877391166
PER,LAC,0,0.4629678583434122
MAR,MENA,1,0.4349765524909174
ECU,LAC,0,0.4186276110530163
UKR,ECA,0,0.38780871441710746
BHR,MENA,0,0.31985450844753094
PHL,EAP,0,0.31586432750967003
TTO,LAC,0,0.29109130481938456
JOR,MENA,0,0.26482767681502056
BIH,ECA,0,0.26274931754974884
KEN,SSA,1,0.2452051079552556
MDA,ECA,0,0.20546906484263477
CYP,ECA,0,0.2024036755992229
IND,SAS,0,0.18391332759387918
URY,LAC,0,0.18241482093395175
HND,LAC,0,0.17877086390416463
CHL,LAC,0,0.16473443065852075
NOR,ECA,0,0.15498117701189548
MUS,SSA,1,0.1436349246734575
FJI,EAP,0,0.09512440132094097
SYC,SSA,1,0.0736234162431213
MAC,EAP,0,0.0627565420410222
SWZ,SSA,1,0.038513418170086994
UGA,SSA,1,-0.009445511651637444
ALB,ECA,0,-0.019599554955124096
LBN,MENA,0,-0.04676374615654798
SAU,MENA,0,-0.050484234408545374
EGY,MENA,1,-0.11385656413730073
ISL,ECA,0,-0.11689683613830529
ARM,ECA,0,-0.11786503658312508
PRY,LAC,0,-0.12154953883457201
LAO,EAP,0,-0.12260659869606033
VGB,LAC,0,-0.14946898575929812
NIC,LAC,0,-0.1730326956072875
GEO,ECA,0,-0.1961666637432884
KWT,MENA,0,-0.21003342124752536
LKA,SAS,0,-0.2283266843354977
JAM,LAC,0,-0.2291510718586167
RUS,ECA,0,-0.23503325629946548
ZWE,SSA,1,-0.26607684681317817
QAT,MENA,0,-0.2699175887984073
GIB,Other,0,-0.2807894316101431
IRN,MENA,0,-0.3010899791106655
PSE,MENA,0,-0.3044105140857397
JPN,EAP,0,-0.30641712729955445
NAM,SSA,1,-0.31724264885702746
ZMB,SSA,1,-0.337001733068096
BOL,LAC,0,-0.35289807597922834
MWI,SSA,1,-0.37282590610795063
FRO,Other,0,-0.37736273001032056
BRN,EAP,0,-0.3836457890311556
UZB,ECA,0,-0.4226362111451278
BHS,LAC,0,-0.4244251477850092
BRB,LAC,0,-0.43653024673870966
NPL,SAS,0,-0.45324617779924953
ETH,SSA,1,-0.4848451991438996
SUR,LAC,0,-0.4965162867061832
NCL,EAP,0,-0.5157828171957819
MDG,SSA,1,-0.5507741374652543
GUM,Other,0,-0.5633713062993967
CIV,SSA,1,-0.5878220539115594
MNE,ECA,0,-0.5927275625165058
AZE,ECA,0,-0.6283942349477355
CUW,LAC,0,-0.6708350369470619
KHM,EAP,0,-0.6841930384100978
MHL,EAP,0,-0.7001707954881854
BMU,NAM,0,-0.7033351331421196
ATG,LAC,0,-0.7040204565391616
PYF,EAP,0,-0.7051478016215239
LCA,LAC,0,-0.7071155915890288
RWA,SSA,1,-0.7127004352850677
VEN,LAC,0,-0.7226476995258945
CYM,LAC,0,-0.7259020776490851
GUY,LAC,0,-0.7271653351926377
TZA,SSA,1,-0.7282195672177856
SEN,SSA,1,-0.7365205358333582
AND,Other,0,-0.7466086805622738
GHA,SSA,1,-0.7681906594237409
MNG,EAP,0,-0.8140141394991254
PAK,SAS,0,-0.8233799347998781
SYR,MENA,0,-0.8248918042139513
MMR,EAP,0,-0.8283961757391682
SLB,EAP,0,-0.8290305870048683
BTN,SAS,0,-0.8322093580534654
TKM,ECA,0,-0.8441932657094028
ABW,LAC,0,-0.8531734030603813
DZA,MENA,1,-0.8588659372498554
GAB,SSA,1,-0.8886263582350744
BWA,SSA,1,-0.8898810082986567
PRK,EAP,0,-0.8988401478760868
SXM,Other,0,-0.9042610054944431
PNG,EAP,0,-0.9079933623321566
CMR,SSA,1,-0.9144667566579655
GRL,Other,0,-0.9144788853471578
KAZ,ECA,0,-0.9160525859008537
BLZ,LAC,0,-0.9216054163602797
LSO,SSA,1,-0.9411278045154425
NER,SSA,1,-0.9666010218252126
MOZ,SSA,1,-0.9709576579208251
CPV,SSA,1,-0.9751778941243737
CUB,LAC,0,-0.9771373613403624
NGA,SSA,1,-0.9867228130804775
SLE,SSA,1,-1.0615034688045533
VUT,EAP,0,-1.0912125310538996
HTI,LAC,0,-1.0926565339136045
ANT,Other,0,-1.1009726412495415
TGO,SSA,1,-1.1053543567591217
LBR,SSA,1,-1.142908355247638
TCD,SSA,1,-1.1801321349013314
COG,SSA,1,-1.2147265594505985
LBY,MENA,1,-1.2383881802674084
AGO,SSA,1,-1.2446626359425408
TLS,EAP,0,-1.253471749911211
BGD,SAS,0,-1.2548419087378864
BFA,SSA,1,-1.2653441146342541
GNQ,SSA,1,-1.2746723576663732
MLI,SSA,1,-1.2780629178460012
BEN,SSA,1,-1.2791619579968512
MDV,SAS,0,-1.291148210635329
IRQ,MENA,0,-1.3095067897322477
YEM,MENA,0,-1.3482716116371476
SDN,SSA,1,-1.3586644150223819
TJK,ECA,0,-1.374415938151205
COD,SSA,1,-1.4439931517915083
GIN,SSA,1,-1.459614810187348
KGZ,ECA,0,-1.5115009731594367
DJI,SSA,1,-1.5364616747769546
AFG,SAS,0,-1.6070505553472032
GMB,SSA,1,-1.6748465323720014
ERI,SSA,1,-1.7547170876143436
SSD,SSA,1,-1.8444284484844022
MRT,SSA,1,-1.8529416057485166
SOM,SSA,1,-2.1317777645607
NIU,Other,0,-2.833095360663169
ATA,Other,0,-2.9574601519127244
